InsuredNric,Insured_Premium,Claim_count,Discounts,Coverage_final,ExpDate,EffDate,Advance_purchase,Cumulative_Policies,Insured_age,No_of_insured,avg_past_3_trips_claims,avg_past_3_trips_claims_amount,Region,plantype_fgi,Policies_Per_Year,trip_duration,Tenure_Years,RG5_capped,RG6_capped,RG7_capped,RG8_capped,RG9_capped,RG10_capped,GrossClaimIncurredWithGSTHTD_capped
801Y,707.1,0,27.49,Preferred,2022-10-15,2023-11-25,66,11,59,2,0.97,848.67,ASEAN,Individual,1.67427701674277,12,6.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786R,175.43,0,0.36,Classic,2022-02-05,2023-12-17,20,1,25,4,1.19,50.77,WORLDWIDE,Family,0.18050541516245489,25,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133C,531.47,0,7.94,Classic,2022-02-23,2023-04-20,8,5,61,4,1.87,85.35,ASEAN,Individual,2.93,25,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341H,249.2,0,79.26,Preferred,2023-08-27,2022-03-30,55,10,54,2,2.89,835.98,ASIA,Group,1.28,3,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016I,714.82,1,158.5,Deluxe,2022-09-04,2022-04-17,26,3,54,2,0.04,116.07,ASEAN,Family,1.6574585635359116,22,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341H,340.5,0,23.59,Classic,2024-01-04,2023-01-23,23,10,27,2,1.91,45.3,ASEAN,Individual,2.197802197802198,3,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001G,784.91,1,64.89,Preferred,2022-10-12,2023-03-04,12,14,19,1,0.28,683.01,ASEAN,Group,4.3,28,3.05,0.0,0.0,0.0,0.0,666.84,0.0,741.92
379I,314.82,0,110.5,Classic,2023-02-24,2024-01-30,21,13,74,4,0.53,750.61,WORLDWIDE,Individual,2.36,20,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016I,780.36,1,32.19,Preferred,2022-09-30,2022-04-03,84,9,39,1,2.69,389.2,ASEAN,Individual,0.91,9,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487I,615.52,0,110.41,Preferred,2022-04-09,2023-03-03,25,4,38,4,2.84,781.3,ASEAN,Individual,0.8658008658008658,16,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389A,498.68,0,177.91,Deluxe,2022-07-13,2023-07-02,29,5,55,3,1.74,863.14,WORLDWIDE,Family,0.8130081300813008,15,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260M,701.29,0,197.79,Deluxe,2023-12-15,2023-07-16,39,14,20,1,0.03,468.66,ASEAN,Family,1.03,11,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
819N,349.27,1,134.57,Classic,2023-07-10,2023-12-17,32,13,64,1,0.13,924.64,WORLDWIDE,Family,2.9411764705882355,27,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834M,463.33,0,108.29,Deluxe,2023-10-18,2023-05-17,57,11,29,2,2.85,890.26,ASEAN,Individual,1.75,6,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737Z,224.31,0,2.9,Classic,2022-07-20,2024-01-25,77,12,65,1,0.4,76.2,WORLDWIDE,Group,3.12,27,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347G,467.48,0,76.9,Preferred,2023-01-09,2022-04-06,18,1,28,1,2.25,392.99,WORLDWIDE,Individual,0.2770083102493075,11,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104H,501.37,0,55.1,Deluxe,2023-03-22,2023-04-25,32,2,45,3,0.34,671.57,ASIA,Individual,0.3021148036253776,14,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389A,491.15,0,94.31,Classic,2022-07-26,2022-09-17,85,14,19,3,0.64,136.37,ASEAN,Group,3.15,17,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338O,504.03,1,125.16,Deluxe,2023-03-26,2022-08-24,43,11,68,3,0.39,128.05,ASEAN,Family,1.9230769230769231,10,5.72,370.75,0.0,0.0,0.0,0.0,0.0,391.74
395G,1038.09,0,71.55,Preferred,2023-09-26,2022-03-23,19,5,22,2,0.84,177.01,ASEAN,Family,0.6934812760055479,28,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834M,496.47,0,16.24,Classic,2022-12-16,2022-05-18,63,13,34,2,2.6,84.52,ASIA,Individual,2.91,26,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498A,455.29,0,11.35,Deluxe,2023-11-30,2022-12-09,7,3,64,3,1.54,532.11,ASEAN,Group,2.3255813953488373,17,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884X,235.34,1,12.01,Classic,2023-03-01,2023-10-06,6,4,43,4,1.71,356.1,WORLDWIDE,Individual,1.57,24,2.19,0.0,0.0,0.0,0.0,308.1,0.0,346.48
260M,191.85,0,21.88,Classic,2023-08-30,2023-11-26,55,9,72,3,1.57,410.4,WORLDWIDE,Family,1.2875536480686696,13,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838N,448.68,0,35.81,Deluxe,2023-06-16,2022-05-24,12,1,43,2,0.87,581.24,ASEAN,Group,0.3058103975535168,3,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511M,517.71,0,141.76,Deluxe,2023-08-19,2022-12-18,63,5,26,1,0.35,473.17,ASIA,Individual,0.7429420505200593,7,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578O,741.65,0,219.86,Preferred,2023-07-26,2023-01-15,72,11,58,1,0.6,163.66,ASEAN,Individual,1.5047879616963065,28,7.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427R,527.12,1,79.48,Preferred,2023-11-22,2023-10-30,38,1,40,3,1.51,232.21,WORLDWIDE,Group,0.4504504504504504,10,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148T,152.14,0,32.46,Classic,2022-08-19,2023-03-27,29,6,74,1,2.12,778.57,ASEAN,Family,0.847457627118644,7,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005Y,414.38,0,75.75,Classic,2023-11-27,2022-02-15,29,8,22,1,0.69,722.25,ASIA,Individual,1.362862010221465,6,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423X,427.16,0,78.94,Preferred,2022-10-29,2023-01-29,12,10,30,4,1.52,611.45,ASEAN,Individual,1.3531799729364007,6,7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389A,547.16,0,126.13,Preferred,2023-01-13,2022-03-23,29,14,57,1,2.78,450.84,ASEAN,Individual,2.0648967551622417,24,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104H,458.36,0,61.46,Deluxe,2023-03-12,2022-12-10,26,9,52,3,1.24,863.52,WORLDWIDE,Group,2.313624678663239,29,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154H,409.42,1,159.76,Classic,2022-12-27,2023-12-21,20,6,39,4,1.61,184.46,ASEAN,Group,2.29,21,2.07,430.94,10.34,0.0,0.0,0.0,0.0,472.73
462V,382.8,1,45.02,Deluxe,2023-01-06,2022-07-25,66,6,45,1,1.2,559.64,ASEAN,Family,0.975609756097561,9,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511M,87.59,0,0.89,Classic,2023-04-21,2022-07-28,7,13,25,1,1.66,253.89,ASEAN,Individual,2.0,27,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801Y,471.48,1,119.42,Deluxe,2023-11-04,2022-07-01,85,3,65,1,2.63,642.93,ASIA,Individual,1.2244897959183672,13,2.45,0.0,0.0,0.0,0.0,0.0,312.92,338.71
321V,397.83,1,123.14,Classic,2022-08-14,2022-03-25,44,3,69,2,2.29,140.11,WORLDWIDE,Group,0.7246376811594204,19,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998K,496.17,0,165.71,Deluxe,2022-01-04,2023-11-28,58,13,62,2,0.82,18.39,WORLDWIDE,Family,3.09,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627A,193.47,1,29.65,Deluxe,2023-09-26,2023-08-12,64,2,71,3,0.55,90.34,ASIA,Family,0.6309148264984227,13,3.17,5.53,690.83,0.0,0.0,0.0,0.0,743.39
631D,536.1,1,46.09,Deluxe,2023-07-02,2022-06-28,83,3,69,3,2.54,955.24,ASEAN,Individual,2.63,11,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164O,186.96,0,34.38,Deluxe,2022-05-11,2023-06-13,44,3,47,2,1.77,360.97,ASEAN,Individual,0.5281690140845071,12,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782I,553.74,0,217.2,Deluxe,2023-04-11,2022-04-30,12,11,43,1,2.83,39.43,ASIA,Individual,1.31,23,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379I,428.61,0,158.48,Classic,2023-05-13,2024-01-28,82,14,69,3,1.37,522.43,ASIA,Individual,2.14,14,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242X,461.95,0,148.56,Deluxe,2023-05-31,2023-01-15,86,9,30,2,1.56,426.82,WORLDWIDE,Group,2.58,4,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161R,602.0,0,210.38,Deluxe,2022-08-27,2023-02-12,10,14,42,3,1.26,737.58,ASEAN,Family,2.1,20,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651H,309.91,0,48.55,Preferred,2022-05-20,2022-08-06,37,13,54,3,1.77,982.33,WORLDWIDE,Individual,4.57,4,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509R,363.66,1,120.83,Classic,2023-01-01,2022-12-27,57,10,58,1,2.87,826.21,WORLDWIDE,Individual,1.3404825737265416,11,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701B,466.3,1,50.91,Deluxe,2023-06-25,2023-11-11,67,9,51,4,0.11,329.05,WORLDWIDE,Individual,1.77,17,0.54,0.0,0.0,0.0,0.0,901.22,0.0,987.5
389A,129.12,1,46.2,Classic,2023-08-16,2022-05-25,40,13,49,2,1.78,824.68,ASEAN,Individual,2.1666666666666665,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513L,789.94,0,278.34,Preferred,2022-01-31,2023-07-20,42,10,49,3,0.69,908.7,ASEAN,Individual,3.9,14,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016I,410.87,0,19.04,Classic,2023-12-01,2023-04-24,88,13,52,4,0.32,761.03,ASIA,Individual,1.7356475300400533,17,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824J,366.67,1,94.98,Deluxe,2023-01-16,2023-05-06,7,13,28,1,0.97,488.64,ASIA,Individual,2.51,16,4.01,736.98,0.0,0.0,62.1,0.0,0.0,893.06
001G,523.77,0,166.52,Deluxe,2022-06-06,2022-04-16,32,2,64,2,0.69,131.34,WORLDWIDE,Individual,0.27322404371584696,23,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631D,115.32,1,40.05,Classic,2023-06-08,2022-10-29,80,11,25,4,0.56,868.62,ASIA,Individual,4.3,22,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824J,243.33,1,77.53,Classic,2022-06-02,2024-02-04,78,7,34,2,2.06,430.31,ASEAN,Group,0.79,24,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321V,354.81,0,55.7,Deluxe,2023-01-01,2023-06-10,38,11,62,1,2.58,779.85,ASEAN,Group,0.97,19,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822V,399.58,0,112.28,Classic,2023-12-15,2022-09-30,2,1,50,1,1.05,33.2,ASEAN,Group,0.49751243781094534,9,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310V,250.65,0,3.17,Classic,2022-03-14,2023-01-25,32,9,67,4,2.61,714.09,WORLDWIDE,Group,1.6483516483516483,9,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091N,383.25,1,149.6,Deluxe,2022-12-22,2023-12-17,8,13,72,1,1.98,498.2,ASIA,Individual,1.53,26,7.81,0.0,0.0,0.0,0.0,24.9,0.0,26.54
819N,282.44,0,94.95,Classic,2023-12-26,2022-07-09,58,13,41,4,1.89,735.35,ASIA,Individual,2.6859504132231407,21,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451J,224.04,0,53.57,Classic,2022-10-22,2023-02-06,58,6,29,3,1.87,631.56,ASIA,Family,1.1976047904191618,18,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957A,498.57,1,102.67,Deluxe,2022-03-25,2022-06-10,70,1,42,1,1.2,857.99,ASEAN,Individual,0.1287001287001287,6,7.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782I,270.85,1,38.92,Classic,2022-10-11,2022-06-01,37,5,29,1,2.35,705.39,ASEAN,Individual,3.01,29,1.34,0.0,0.0,0.0,0.0,238.72,0.0,273.3
136D,670.64,0,121.31,Preferred,2022-02-28,2022-07-11,51,14,29,2,1.19,479.9,ASIA,Family,1.95,27,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347G,346.87,0,19.38,Deluxe,2023-01-19,2023-10-31,45,4,33,2,0.61,673.43,WORLDWIDE,Family,0.5706134094151213,8,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911R,837.14,0,81.75,Preferred,2023-06-22,2023-11-10,47,8,66,4,0.34,795.51,WORLDWIDE,Individual,2.318840579710145,16,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736B,267.15,0,64.65,Deluxe,2023-07-29,2023-09-08,33,9,42,4,2.26,90.48,ASEAN,Family,3.0508474576271185,8,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341T,539.61,1,117.52,Deluxe,2023-08-24,2024-01-26,15,1,29,2,1.19,695.47,ASEAN,Group,0.2610966057441253,19,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498A,555.18,0,168.63,Deluxe,2022-01-03,2022-04-26,26,8,65,2,1.44,25.64,ASEAN,Group,2.29,7,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011W,964.54,1,75.53,Preferred,2022-12-02,2022-05-28,15,9,53,3,1.14,197.15,ASEAN,Family,1.25,6,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509R,534.59,1,183.77,Deluxe,2022-02-08,2022-07-09,71,8,66,2,0.56,917.75,ASEAN,Family,4.17,14,0.83,0.0,0.0,2529.12,0.0,0.0,0.0,2787.71
782I,686.91,1,226.02,Preferred,2022-03-01,2022-07-17,74,9,35,3,1.87,451.77,ASIA,Family,2.2222222222222223,4,4.05,119.16,0.0,0.0,0.0,0.0,0.0,127.94
764U,354.33,0,86.04,Classic,2022-06-09,2023-07-08,10,9,31,1,1.78,496.77,WORLDWIDE,Family,2.356020942408377,5,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148T,606.39,1,64.25,Deluxe,2024-01-11,2023-01-19,36,3,26,4,1.1,343.56,ASIA,Group,2.941176470588235,7,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226T,372.02,0,83.0,Deluxe,2022-12-20,2023-05-17,30,4,25,2,1.69,957.63,ASEAN,Individual,1.1204481792717087,18,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532Q,458.35,1,43.02,Classic,2022-12-14,2023-10-20,5,4,57,4,1.62,842.03,ASIA,Individual,0.5722460658082975,9,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341H,403.98,0,19.01,Deluxe,2023-10-25,2022-05-25,66,9,38,2,2.81,553.8,ASEAN,Group,1.2765957446808511,6,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838N,658.66,1,21.32,Preferred,2023-02-09,2023-12-07,66,11,19,3,1.04,975.61,ASIA,Individual,1.1,24,2.85,1333.9,510.22,0.0,0.0,0.0,0.0,2082.02
487I,575.77,1,115.75,Deluxe,2022-01-25,2023-11-15,8,5,51,4,0.41,963.12,ASIA,Individual,0.6648936170212766,15,7.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283F,309.1,0,80.39,Deluxe,2023-04-12,2022-11-14,5,3,51,2,0.64,484.6,ASIA,Individual,1.3100436681222707,25,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786R,285.59,0,20.31,Classic,2023-02-04,2023-10-02,4,4,56,4,2.44,615.22,ASEAN,Individual,0.6745362563237775,9,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338O,163.31,1,50.25,Classic,2023-05-25,2022-08-02,2,14,44,1,0.06,259.81,ASIA,Family,2.91,3,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498A,277.52,1,16.66,Classic,2023-07-18,2023-10-17,82,8,52,1,1.84,859.57,ASEAN,Individual,1.1,19,5.44,0.0,0.0,0.0,635.19,0.0,0.0,673.18
288A,239.44,1,49.65,Classic,2023-04-12,2023-09-04,32,12,18,3,2.04,41.67,ASEAN,Individual,0.82,26,1.29,1160.18,0.0,0.0,0.0,0.0,0.0,1289.42
164O,1061.72,0,125.94,Preferred,2023-10-13,2023-04-12,15,3,24,3,0.56,174.11,ASEAN,Individual,3.94,12,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016I,592.28,1,2.47,Deluxe,2023-01-17,2023-09-13,41,9,72,2,2.69,322.22,ASEAN,Group,1.01,15,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487I,455.23,0,7.96,Deluxe,2022-09-30,2023-03-09,55,9,42,4,1.3,439.4,ASIA,Individual,1.58,23,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133C,330.74,1,102.72,Classic,2022-08-24,2024-02-06,75,6,39,3,0.81,539.56,ASIA,Family,0.9049773755656109,22,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487I,572.36,0,94.65,Deluxe,2023-02-25,2024-01-02,56,3,71,3,0.45,93.76,ASIA,Individual,0.7575757575757576,10,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341H,791.26,0,278.47,Preferred,2023-05-06,2023-05-19,10,5,63,3,1.84,687.88,ASEAN,Individual,0.8051529790660226,12,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103C,829.3,1,225.03,Preferred,2024-01-05,2022-04-11,56,3,54,2,1.1,448.61,ASIA,Individual,0.5484460694698355,7,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103C,221.15,0,42.55,Deluxe,2023-06-10,2023-06-30,88,5,33,2,1.68,560.66,ASIA,Individual,1.1792452830188678,21,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462V,426.26,1,134.46,Classic,2023-12-05,2022-02-19,48,13,53,2,0.98,434.02,ASEAN,Family,2.08,29,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829S,478.48,1,78.45,Deluxe,2022-03-19,2022-06-04,75,7,26,2,1.76,184.48,ASEAN,Group,0.62,19,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260M,536.51,1,92.21,Deluxe,2023-08-04,2023-01-15,64,5,37,1,1.31,937.35,ASIA,Individual,0.72,9,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104H,599.67,0,67.82,Preferred,2023-09-10,2023-03-21,86,12,24,3,0.83,787.13,WORLDWIDE,Group,1.8957345971563981,27,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039C,200.07,1,10.24,Classic,2022-07-18,2023-04-02,26,12,73,4,1.87,494.48,WORLDWIDE,Family,2.531645569620253,7,4.74,483.4,0.0,0.0,0.0,0.0,162.13,725.08
341T,727.55,0,209.54,Preferred,2023-05-05,2022-12-24,86,7,50,1,2.94,227.41,ASEAN,Individual,1.5283842794759825,19,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260M,286.86,1,40.85,Classic,2023-09-03,2024-01-05,63,1,49,3,2.62,544.85,ASIA,Individual,0.14124293785310735,10,7.08,0.0,327.36,205.31,0.0,0.0,0.0,574.79
911R,550.55,1,121.67,Preferred,2022-09-11,2022-03-16,42,4,52,2,1.12,451.7,ASEAN,Family,1.9704433497536948,13,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805B,231.15,1,28.88,Classic,2023-07-13,2022-09-26,82,10,37,2,2.38,316.76,WORLDWIDE,Individual,1.75,10,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411X,539.77,0,95.07,Preferred,2023-01-01,2023-07-29,9,12,28,2,0.96,988.42,ASEAN,Family,3.76,4,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487I,372.64,0,13.87,Deluxe,2022-07-15,2023-11-28,5,3,45,1,0.89,918.21,ASEAN,Individual,0.45045045045045046,4,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430S,639.94,0,182.26,Preferred,2022-08-06,2022-08-09,33,5,52,4,2.72,739.67,ASEAN,Individual,0.8278145695364238,24,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155T,167.19,0,49.44,Preferred,2022-03-07,2023-05-29,40,8,45,3,0.52,855.74,ASEAN,Individual,1.4010507880910683,5,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395G,240.49,0,73.04,Classic,2023-04-05,2023-03-08,39,9,52,4,1.99,260.29,WORLDWIDE,Individual,2.6315789473684212,29,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822V,268.13,1,97.68,Deluxe,2023-03-02,2022-11-02,73,12,37,1,2.89,726.67,ASEAN,Individual,1.77,17,3.87,0.0,0.0,0.0,439.3,538.68,0.0,1054.27
482Q,285.95,0,83.53,Preferred,2022-02-10,2024-01-09,68,12,25,2,2.0,593.22,WORLDWIDE,Family,0.86,19,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407R,529.25,1,121.04,Deluxe,2022-10-28,2023-01-09,47,8,29,2,1.3,773.88,ASIA,Individual,1.0512483574244416,10,7.61,0.0,0.0,3560.14,0.0,39.42,0.0,4020.42
482Q,464.0,0,71.36,Classic,2023-08-02,2023-06-07,66,8,51,3,2.23,506.27,ASIA,Family,1.64,19,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838N,374.21,0,145.42,Classic,2022-04-03,2023-10-14,40,14,52,4,0.84,206.99,ASIA,Family,0.53,10,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005Y,612.67,0,228.34,Deluxe,2022-12-10,2023-08-03,49,9,34,4,1.59,879.86,ASIA,Family,1.1320754716981132,16,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121T,532.94,0,155.59,Preferred,2023-08-07,2023-05-02,61,5,62,4,2.02,296.73,ASIA,Individual,0.9487666034155599,27,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384E,381.07,1,114.3,Classic,2022-04-15,2022-08-21,66,3,28,1,0.03,636.1,WORLDWIDE,Individual,0.5681818181818181,22,5.28,547.25,0.0,0.0,725.71,0.0,0.0,1388.06
321V,530.28,1,98.97,Deluxe,2023-02-12,2023-06-20,38,12,38,2,2.56,403.9,ASEAN,Individual,1.8489984591679507,14,6.49,0.0,0.0,0.0,0.0,0.0,305.86,349.0
801Y,778.62,1,115.25,Deluxe,2022-04-28,2023-10-05,33,8,56,2,0.5,430.53,ASEAN,Individual,2.06,22,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805B,243.22,0,6.98,Deluxe,2022-05-06,2023-03-02,49,1,55,4,1.82,364.59,ASEAN,Individual,0.5681818181818182,6,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578O,378.92,1,144.89,Deluxe,2022-02-04,2022-04-28,6,4,35,4,1.64,88.2,ASIA,Family,0.6349206349206349,18,6.3,19.89,147.3,47.26,0.0,0.0,0.0,244.47
736B,298.55,0,90.99,Classic,2023-01-14,2023-01-09,51,3,59,2,0.78,194.62,ASEAN,Group,0.44576523031203563,14,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326P,396.14,0,77.47,Classic,2023-03-11,2023-06-24,17,3,35,4,0.98,792.52,ASEAN,Individual,0.7371007371007371,7,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451J,258.56,0,61.96,Preferred,2023-11-16,2023-08-13,12,6,38,2,2.37,124.82,ASIA,Family,0.7722007722007722,14,7.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341T,313.6,0,61.64,Deluxe,2023-08-10,2023-03-24,62,8,40,3,1.82,918.73,ASEAN,Individual,2.247191011235955,29,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
