ClaimNo_AT,AccidentDesc,AccidentTypeDesc,DriverNric
POL-2021-299448,Food poisoning at hotel restaurant. Symptoms included severe pain. Hospitalized for 3 days.,medical,S2833230D
POL-2024-202664,Single vehicle accident due to brake failure. whiplash sustained. Vehicle front bumper damaged. Seeking full compensation.,vehicle,S2264748H
POL-2023-161483,Vehicle collided with wall at intersection. Driver experienced shoulder pain. Clear conditions.,vehicle,S9075854D
POL-2021-411120,Vehicle collided with another vehicle at residential area. Driver experienced neck strain. Rainy conditions. Seeking full compensation.,vehicle,S9164991C
POL-2020-632496,Rear-ended by another vehicle while slowing down. Suffered back pain. Police report filed. Insurance claim to follow.,vehicle,S9436429C
POL-2024-358175,Slipped and fell at office building. Resulted in back pain. Required observation.,medical,S7774229B
POL-2022-314181,Trip cancelled due to natural disaster. Non-refundable bookings worth $5000.,travel,S9770838F
POL-2022-888387,Injured back while playing football. shoulder pain diagnosed. Treatment: specialized care. Insurance claim to follow.,sports,S6033115H
POL-2021-465962,"Fire damage at intersection. jewelry, camera equipment destroyed. Total loss estimated at $2500.",property,S9487336E
POL-2024-413921,Injured knee while playing football. concussion diagnosed. Treatment: physical therapy.,sports,S6075395A
POL-2022-734210,Car accident on Park Avenue involving multiple vehicles. bruises reported. minor scratches to vehicle.,vehicle,S3607983E
POL-2023-969634,Vehicle collided with cyclist at downtown. Driver experienced concussion. Windy conditions.,vehicle,S1852264B
POL-2024-839945,Slipped and fell at highway. Resulted in back pain. Required medication.,medical,S3710895H
POL-2023-233636,Car accident on Park Avenue involving 3 vehicles. whiplash reported. total loss to vehicle.,vehicle,S7194416C
POL-2024-885884,Rear-ended by another vehicle while parking. Suffered concussion. Police report filed.,vehicle,S6933742G
POL-2022-920391,Collision with pedestrian during swimming activity. Sustained concussion. No witnesses present.,sports,S1415846C
POL-2021-956253,Equipment failure during basketball resulted in fractured ribs. Required medication. Insurance claim to follow.,sports,S8896868D
POL-2022-172792,Equipment failure during skiing resulted in neck strain. Required specialized care.,sports,S7685149F
POL-2020-220944,"Burglary at residence. business documents, laptop stolen. Property damage includes total loss.",property,S9996207F
POL-2020-725550,Allergic reaction to latex. Experienced severe pain. Emergency treatment required.,medical,S5453786A
POL-2024-299312,Hit and run incident in highway. Vehicle minor scratches. Driver had bruises.,vehicle,S2940214G
POL-2020-854717,Fall during skiing practice. fractured ribs to elbow. X-ray showed muscle strain.,sports,S6539837F
POL-2021-540869,Fell ill with altitude sickness during trip to Brazil. Medical expenses $2500.,travel,S5960271C
POL-2022-320392,Pre-existing diabetic emergency aggravated during travel. Required specialized care.,medical,S1006810E
POL-2024-596171,"Luggage lost on flight from Singapore to Dubai. Contained business documents, laptop.",travel,S8418210D
POL-2021-805477,Rear-ended by another vehicle while stopped at traffic light. Suffered concussion. Police report filed. Seeking full compensation.,vehicle,S6623525B
POL-2023-760356,Sudden seizure while traveling. Transported to hospital. observation administered. Urgent processing requested.,medical,S2221854H
POL-2023-329471,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle front bumper damaged. No witnesses present.,vehicle,S1093026B
POL-2023-800005,Pre-existing diabetic emergency aggravated during travel. Required specialized care.,medical,S8658158C
POL-2024-567574,Storm damage to office. significant damage observed. Temporary accommodation needed.,property,S8425149G
POL-2021-387936,"Allergic reaction to medication. Experienced severe headache, fever. Emergency treatment required.",medical,S5652512H
POL-2021-342495,"Food poisoning at local restaurant. Symptoms included severe headache, fever. Hospitalized for 4 days.",medical,S2351868C
POL-2020-316881,Storm damage to home. rear damage observed. Temporary accommodation needed.,property,S8816912G
POL-2020-468845,Hit and run incident in downtown. Vehicle rear damage. Driver had knee injury.,vehicle,S7381734H
POL-2021-386193,Slipped and fell at shopping mall. Resulted in neck strain. Required observation.,medical,S4700025H
POL-2024-660069,Hit and run incident in office building. Vehicle front bumper damaged. Driver had whiplash.,vehicle,S8841505C
POL-2021-152727,Car accident on Interstate 95 involving 4 vehicles. bruises reported. minor scratches to vehicle.,vehicle,S3276659H
POL-2023-364525,Storm damage to storage unit. front bumper damaged observed. Temporary accommodation needed. Photos attached.,property,S7360682E
POL-2020-890870,Rear-ended by another vehicle while stopped at traffic light. Suffered bruises. Police report filed.,vehicle,S4761823B
POL-2023-801978,Rear-ended by another vehicle while changing lanes. Suffered shoulder pain. Police report filed.,vehicle,S5002120C
POL-2021-426147,Vehicle collided with pedestrian at office building. Driver experienced knee injury. Snowy conditions.,vehicle,S3815034B
POL-2024-824161,"Fire damage at highway. business documents, laptop destroyed. Total loss estimated at $5000.",property,S4327421B
POL-2022-658623,"Allergic reaction to latex. Experienced nausea, vomiting, diarrhea. Emergency treatment required.",medical,S3030966A
POL-2023-210665,Allergic reaction to shellfish. Experienced severe pain. Emergency treatment required.,medical,S1212267G
POL-2024-947458,Overexertion during sightseeing caused shoulder pain. Doctor recommended observation. Insurance claim to follow.,sports,S9753457E
POL-2023-355709,Passport stolen in office building. Had to turning left. Additional costs incurred.,travel,S2453962E
POL-2021-611233,Car accident on Park Avenue involving 4 vehicles. neck strain reported. rear damage to vehicle. Insurance claim to follow.,vehicle,S9293086F
POL-2023-612311,Food poisoning at airport cafe. Symptoms included severe pain. Hospitalized for 4 days.,medical,S2436347D
POL-2021-524045,Trip cancelled due to weather. Non-refundable bookings worth $5000.,travel,S2561176E
POL-2023-882169,Allergic reaction to medication. Experienced severe pain. Emergency treatment required.,medical,S9907391F
POL-2021-430876,Single vehicle accident due to brake failure. concussion sustained. Vehicle total loss.,vehicle,S4867786B
POL-2020-973074,Rear-ended by another vehicle while parking. Suffered neck strain. Police report filed.,vehicle,S5638893E
POL-2022-147726,Fall during basketball practice. fractured ribs to elbow. X-ray showed no fracture. No witnesses present.,sports,S9961299C
POL-2023-561865,Vehicle collided with pedestrian at downtown. Driver experienced shoulder pain. Rainy conditions.,vehicle,S5770422H
POL-2020-705050,Flight delayed for 6 hours. Missed cruise departure. Incurred $2000 in expenses. Insurance claim to follow.,travel,S7722755H
POL-2024-725084,"Luggage lost on flight from Sydney to Hong Kong. Contained jewelry, camera equipment.",travel,S2987287G
POL-2022-696251,Passport stolen in residential area. Had to stopped at traffic light. Additional costs incurred.,travel,S5988757G
POL-2022-792509,Rear-ended by another vehicle while slowing down. Suffered concussion. Police report filed. No witnesses present.,vehicle,S4486102D
POL-2024-592738,Rear-ended by another vehicle while changing lanes. Suffered fractured ribs. Police report filed.,vehicle,S7853787H
POL-2021-377405,Passport stolen in residential area. Had to parking. Additional costs incurred.,travel,S8617381B
POL-2022-966785,Vehicle collided with pole at downtown. Driver experienced fractured ribs. Icy conditions.,vehicle,S4771676C
POL-2020-591465,Fell ill with altitude sickness during trip to Brazil. Medical expenses $5000.,travel,S5842082H
POL-2023-870214,Car accident on Highway 1 involving 3 vehicles. whiplash reported. rear damage to vehicle.,vehicle,S2349590A
POL-2024-142185,"Luggage lost on flight from Tokyo to Los Angeles. Contained business documents, laptop.",travel,S1348050E
POL-2024-557058,Fell ill with stomach flu during trip to Mexico. Medical expenses $1000.,travel,S5666692C
POL-2021-445824,Sudden seizure while sightseeing. Transported to hospital. physical therapy administered. No witnesses present.,medical,S6386463B
POL-2022-221552,Overexertion during dining caused whiplash. Doctor recommended specialized care.,sports,S6276722E
POL-2024-893188,Sudden asthma attack while working. Transported to hospital. emergency surgery administered.,medical,S4147112F
POL-2023-227324,Single vehicle accident due to slippery road. bruises sustained. Vehicle total loss.,vehicle,S5832327H
POL-2021-982277,Overexertion during dining caused back pain. Doctor recommended medication.,sports,S7844947B
POL-2023-975271,Sudden seizure while sightseeing. Transported to hospital. medication administered. Insurance claim to follow.,medical,S5896624E
POL-2020-389666,Fell ill with altitude sickness during trip to Mexico. Medical expenses $5000.,travel,S9526867C
POL-2024-708093,Overexertion during sightseeing caused concussion. Doctor recommended observation.,sports,S5745250E
POL-2023-437408,"Fire damage at office building. jewelry, camera equipment destroyed. Total loss estimated at $2500.",property,S6577416G
POL-2022-880879,Sudden asthma attack while dining. Transported to hospital. observation administered.,medical,S7891662A
POL-2020-986088,Pre-existing chest pain aggravated during travel. Required observation.,medical,S3118060F
POL-2020-592296,Trip cancelled due to political unrest. Non-refundable bookings worth $25000.,travel,S7878299C
POL-2024-498468,Overexertion during exercising caused whiplash. Doctor recommended specialized care. Urgent processing requested.,sports,S2347467F
POL-2020-555052,Injured elbow while playing tennis. shoulder pain diagnosed. Treatment: medication.,sports,S5821419D
POL-2020-407618,Sudden asthma attack while sightseeing. Transported to hospital. medication administered.,medical,S1771600F
POL-2021-182804,Fell ill with food poisoning during trip to Egypt. Medical expenses $25000.,travel,S4020853C
POL-2023-768891,Car accident on Interstate 95 involving 4 vehicles. whiplash reported. rear damage to vehicle. Seeking full compensation.,vehicle,S3401116D
POL-2023-823846,Car accident on Interstate 95 involving multiple vehicles. bruises reported. front bumper damaged to vehicle. Previous claim history: none.,vehicle,S6797629E
POL-2022-123005,Overexertion during sightseeing caused fractured ribs. Doctor recommended emergency surgery.,sports,S7022335E
POL-2022-913423,Passport stolen in downtown. Had to changing lanes. Additional costs incurred. Insurance claim to follow.,travel,S1822825H
POL-2020-757937,Trip cancelled due to family emergency. Non-refundable bookings worth $1000.,travel,S5204819C
POL-2022-442589,"Luggage lost on flight from New York to Bangkok. Contained business documents, laptop.",travel,S3204724B
POL-2021-369452,Overexertion during exercising caused fractured ribs. Doctor recommended physical therapy.,sports,S7138070E
POL-2021-809176,Fell ill with COVID-19 during trip to Thailand. Medical expenses $25000.,travel,S2263313C
POL-2024-229592,Allergic reaction to insect sting. Experienced dizziness. Emergency treatment required.,medical,S1233516E
POL-2021-594379,Single vehicle accident due to brake failure. neck strain sustained. Vehicle rear damage.,vehicle,S7232293B
POL-2023-222343,Vehicle collided with pedestrian at shopping mall. Driver experienced back pain. Rainy conditions. Previous claim history: none.,vehicle,S8789116E
POL-2023-489033,Passport stolen in shopping mall. Had to slowing down. Additional costs incurred.,travel,S3276065G
POL-2020-974190,Sudden chest pain while working. Transported to hospital. physical therapy administered. Seeking full compensation.,medical,S3592464G
POL-2020-818987,"Allergic reaction to insect sting. Experienced nausea, vomiting, diarrhea. Emergency treatment required. No witnesses present.",medical,S4961312F
POL-2021-772875,Flight delayed for 3 hours. Missed tour booking. Incurred $1000 in expenses.,travel,S8628891B
POL-2024-317220,Food poisoning at hotel restaurant. Symptoms included difficulty breathing. Hospitalized for 5 days. Insurance claim to follow.,medical,S4442778B
POL-2021-215266,Flight delayed for 6 hours. Missed connecting flight. Incurred $2000 in expenses.,travel,S3180906E
POL-2020-282710,Rear-ended by another vehicle while slowing down. Suffered knee injury. Police report filed. No witnesses present.,vehicle,S4991829F
POL-2022-638169,Sudden asthma attack while sightseeing. Transported to hospital. specialized care administered. Urgent processing requested.,medical,S8990081H
POL-2023-774591,Injured wrist while playing swimming. shoulder pain diagnosed. Treatment: observation. Urgent processing requested.,sports,S9748499E
POL-2020-437758,Flight delayed for 6 hours. Missed tour booking. Incurred $2000 in expenses.,travel,S8441741B
POL-2023-630108,Flight delayed for 3 hours. Missed cruise departure. Incurred $5000 in expenses.,travel,S9901266E
POL-2022-967611,Sudden diabetic emergency while dining. Transported to hospital. emergency surgery administered.,medical,S4833486G
POL-2021-820184,Injured knee while playing skiing. back pain diagnosed. Treatment: emergency surgery. Urgent processing requested.,sports,S5276341F
POL-2024-162894,Pre-existing diabetic emergency aggravated during travel. Required specialized care.,medical,S7251976C
POL-2023-856086,Car accident on Park Avenue involving 2 vehicles. fractured ribs reported. rear damage to vehicle.,vehicle,S7892225F
POL-2021-988432,Single vehicle accident due to slippery road. neck strain sustained. Vehicle front bumper damaged.,vehicle,S3595941H
POL-2024-789786,"Burglary at residence. electronics, clothing, documents stolen. Property damage includes front bumper damaged. Photos attached.",property,S8199311A
POL-2020-290217,Vandalism to home. significant damage requiring professional repair. Urgent processing requested.,property,S6701311F
POL-2024-325583,Sudden asthma attack while working. Transported to hospital. physical therapy administered.,medical,S1514340B
POL-2020-263137,Single vehicle accident due to slippery road. whiplash sustained. Vehicle front bumper damaged.,vehicle,S6442241B
POL-2024-563516,Food poisoning at local restaurant. Symptoms included dizziness. Hospitalized for 3 days.,medical,S8113787H
POL-2024-799539,Rear-ended by another vehicle while slowing down. Suffered knee injury. Police report filed. Insurance claim to follow.,vehicle,S5752087H
POL-2021-901280,Car accident on Highway 1 involving multiple vehicles. back pain reported. significant damage to vehicle. Seeking full compensation.,vehicle,S6056977D
POL-2024-685864,"Burglary at residence. jewelry, camera equipment stolen. Property damage includes front bumper damaged.",property,S9935249D
POL-2020-582087,Equipment failure during skiing resulted in knee injury. Required specialized care.,sports,S1709714G
POL-2020-524707,Car accident on Route 66 involving multiple vehicles. concussion reported. minor scratches to vehicle. No witnesses present.,vehicle,S8007741E
POL-2024-519902,Sudden diabetic emergency while traveling. Transported to hospital. physical therapy administered.,medical,S5082173G
POL-2024-763984,Single vehicle accident due to slippery road. bruises sustained. Vehicle minor scratches.,vehicle,S3820798B
POL-2020-253557,Rear-ended by another vehicle while stopped at traffic light. Suffered concussion. Police report filed. Urgent processing requested.,vehicle,S3477824D
POL-2024-896788,Pre-existing diabetic emergency aggravated during travel. Required specialized care.,medical,S9289908H
POL-2023-171603,Allergic reaction to latex. Experienced difficulty breathing. Emergency treatment required. Previous claim history: none.,medical,S6303930C
POL-2023-573866,Car accident on Highway 1 involving 2 vehicles. fractured ribs reported. rear damage to vehicle.,vehicle,S2244712E
POL-2024-681242,Injured elbow while playing basketball. shoulder pain diagnosed. Treatment: specialized care.,sports,S7450545H
POL-2020-572407,Car accident on Route 66 involving 3 vehicles. back pain reported. front bumper damaged to vehicle. Seeking full compensation.,vehicle,S8979730C
POL-2022-490963,Overexertion during sightseeing caused knee injury. Doctor recommended physical therapy. Urgent processing requested.,sports,S8372274C
POL-2022-199096,Sudden diabetic emergency while sightseeing. Transported to hospital. physical therapy administered.,medical,S6614484B
POL-2024-795847,Car accident on Interstate 95 involving 3 vehicles. fractured ribs reported. rear damage to vehicle.,vehicle,S6592886B
POL-2024-494976,Trip cancelled due to natural disaster. Non-refundable bookings worth $25000. Urgent processing requested.,travel,S2421349E
POL-2020-480211,Rear-ended by another vehicle while turning left. Suffered neck strain. Police report filed. Insurance claim to follow.,vehicle,S8103580F
POL-2022-985447,Passport stolen in downtown. Had to slowing down. Additional costs incurred.,travel,S3599548B
POL-2022-903531,Passport stolen in shopping mall. Had to parking. Additional costs incurred. Urgent processing requested.,travel,S9833734A
POL-2020-530816,Food poisoning at cruise ship dining. Symptoms included severe pain. Hospitalized for 3 days.,medical,S3777286H
POL-2024-350786,Hit and run incident in downtown. Vehicle minor scratches. Driver had bruises.,vehicle,S8531761D
POL-2022-915922,Pre-existing asthma attack aggravated during travel. Required observation.,medical,S8391997H
POL-2020-772324,Allergic reaction to peanuts. Experienced dizziness. Emergency treatment required.,medical,S3321942E
POL-2022-187949,Trip cancelled due to family emergency. Non-refundable bookings worth $25000. Seeking full compensation.,travel,S9655523B
POL-2023-466566,Overexertion during sightseeing caused whiplash. Doctor recommended observation.,sports,S2538698D
POL-2022-335445,Vehicle collided with cyclist at downtown. Driver experienced concussion. Foggy conditions. Seeking full compensation.,vehicle,S7478792B
POL-2023-745239,Vehicle collided with another vehicle at intersection. Driver experienced bruises. Normal conditions. Urgent processing requested.,vehicle,S3328554H
POL-2020-913875,Car accident on Highway 1 involving 3 vehicles. back pain reported. significant damage to vehicle.,vehicle,S9854536G
POL-2020-977330,Fall during cycling practice. whiplash to elbow. X-ray showed hairline fracture. Insurance claim to follow.,sports,S8669093B
POL-2020-744674,Pre-existing asthma attack aggravated during travel. Required observation.,medical,S5886733G
POL-2020-651613,Pre-existing chest pain aggravated during travel. Required specialized care.,medical,S2436363F
POL-2023-491435,Vehicle collided with cyclist at downtown. Driver experienced back pain. Clear conditions. Urgent processing requested.,vehicle,S8887557A
POL-2021-146489,"Allergic reaction to insect sting. Experienced severe headache, fever. Emergency treatment required.",medical,S2739191F
POL-2021-166165,Fell ill with COVID-19 during trip to India. Medical expenses $1000. Insurance claim to follow.,travel,S9028420C
POL-2022-640418,Pre-existing diabetic emergency aggravated during travel. Required observation. Urgent processing requested.,medical,S1703065F
POL-2022-918771,Car accident on Highway 1 involving 4 vehicles. fractured ribs reported. significant damage to vehicle.,vehicle,S4206183E
POL-2022-295892,Sudden heart palpitations while working. Transported to hospital. physical therapy administered.,medical,S8377556G
POL-2023-731718,Collision with pedestrian during football activity. Sustained neck strain. Urgent processing requested.,sports,S8121922B
POL-2023-731894,"Luggage lost on flight from Tokyo to Dubai. Contained jewelry, camera equipment. Photos attached.",travel,S5960015E
POL-2020-178686,Fell ill with altitude sickness during trip to India. Medical expenses $5000.,travel,S8297090E
POL-2020-232361,Car accident on Interstate 95 involving 2 vehicles. neck strain reported. rear damage to vehicle. Seeking full compensation.,vehicle,S3395441H
POL-2023-900152,Rear-ended by another vehicle while turning left. Suffered neck strain. Police report filed.,vehicle,S7223751F
POL-2020-127172,Fell ill with stomach flu during trip to Brazil. Medical expenses $25000. Photos attached.,travel,S5675638D
POL-2024-399449,Fell ill with dengue fever during trip to India. Medical expenses $2500.,travel,S8487220D
POL-2023-192055,"Burglary at residence. business documents, laptop stolen. Property damage includes minor scratches. Previous claim history: none.",property,S8584017C
POL-2021-846385,"Luggage lost on flight from London to Los Angeles. Contained electronics, clothing, documents. Insurance claim to follow.",travel,S5871470E
POL-2023-127560,Pre-existing seizure aggravated during travel. Required physical therapy.,medical,S3329967D
POL-2020-424314,Sudden seizure while dining. Transported to hospital. specialized care administered.,medical,S3177199B
POL-2022-773540,Hit and run incident in residential area. Vehicle total loss. Driver had neck strain.,vehicle,S2237331C
POL-2023-627290,Injured ankle while playing tennis. back pain diagnosed. Treatment: specialized care. Photos attached.,sports,S4052834C
POL-2024-397846,"Burglary at residence. business documents, laptop stolen. Property damage includes total loss.",property,S4782763F
POL-2022-744274,Pre-existing heart palpitations aggravated during travel. Required medication.,medical,S5604524C
POL-2024-855638,Equipment failure during football resulted in whiplash. Required emergency surgery. Urgent processing requested.,sports,S3586950C
POL-2024-536822,Flight delayed for 24 hours. Missed tour booking. Incurred $2000 in expenses.,travel,S5440189D
POL-2023-176517,"Luggage lost on flight from Tokyo to Hong Kong. Contained jewelry, camera equipment.",travel,S7813102E
POL-2022-853258,Car accident on Main Street involving 4 vehicles. knee injury reported. rear damage to vehicle.,vehicle,S6707484C
POL-2023-228473,Rear-ended by another vehicle while stopped at traffic light. Suffered concussion. Police report filed. Seeking full compensation.,vehicle,S6353876D
POL-2021-952993,Single vehicle accident due to brake failure. neck strain sustained. Vehicle total loss.,vehicle,S8015136D
POL-2023-423528,Slipped and fell at shopping mall. Resulted in shoulder pain. Required medication. Photos attached.,medical,S9635649H
POL-2022-618934,Sudden heart palpitations while exercising. Transported to hospital. physical therapy administered.,medical,S1816348A
POL-2022-862847,Sudden chest pain while dining. Transported to hospital. physical therapy administered. Previous claim history: none.,medical,S8229768C
POL-2024-402620,Single vehicle accident due to slippery road. shoulder pain sustained. Vehicle rear damage.,vehicle,S4265774F
POL-2020-513037,Allergic reaction to medication. Experienced dizziness. Emergency treatment required.,medical,S2993318C
POL-2024-142210,Rear-ended by another vehicle while turning left. Suffered neck strain. Police report filed.,vehicle,S4339637G
POL-2022-742848,Hit and run incident in office building. Vehicle rear damage. Driver had fractured ribs.,vehicle,S3498809C
POL-2024-414353,Slipped and fell at intersection. Resulted in neck strain. Required emergency surgery.,medical,S9551583H
POL-2024-597643,Single vehicle accident due to mechanical failure. bruises sustained. Vehicle front bumper damaged.,vehicle,S6161977A
POL-2021-961574,Flight delayed for 48 hours. Missed connecting flight. Incurred $1000 in expenses. Photos attached.,travel,S9795159G
POL-2023-824042,Single vehicle accident due to brake failure. shoulder pain sustained. Vehicle front bumper damaged.,vehicle,S8025967C
POL-2024-495129,Rear-ended by another vehicle while slowing down. Suffered shoulder pain. Police report filed.,vehicle,S6453426H
POL-2024-607699,Rear-ended by another vehicle while slowing down. Suffered fractured ribs. Police report filed. Photos attached.,vehicle,S6943949E
POL-2023-432441,Pre-existing diabetic emergency aggravated during travel. Required physical therapy. Urgent processing requested.,medical,S5848684D
POL-2022-910616,"Burglary at residence. jewelry, camera equipment stolen. Property damage includes front bumper damaged.",property,S7370211G
POL-2023-787836,Hit and run incident in parking lot. Vehicle rear damage. Driver had bruises. Previous claim history: none.,vehicle,S2325893F
POL-2020-745584,"Luggage lost on flight from New York to Paris. Contained business documents, laptop.",travel,S5557052C
POL-2020-205065,Sudden asthma attack while exercising. Transported to hospital. emergency surgery administered.,medical,S4786141D
POL-2023-600641,Trip cancelled due to political unrest. Non-refundable bookings worth $5000.,travel,S3649811G
POL-2024-874568,Flight delayed for 6 hours. Missed hotel reservation. Incurred $1000 in expenses.,travel,S2500901D
POL-2023-295361,Equipment failure during tennis resulted in whiplash. Required emergency surgery.,sports,S1609681G
POL-2022-576419,Fall during cycling practice. shoulder pain to ankle. X-ray showed no fracture. No witnesses present.,sports,S2800206F
POL-2023-779776,Rear-ended by another vehicle while changing lanes. Suffered whiplash. Police report filed.,vehicle,S6547958C
POL-2024-997734,Fell ill with altitude sickness during trip to Mexico. Medical expenses $10000. Urgent processing requested.,travel,S4240708C
POL-2021-600646,Rear-ended by another vehicle while changing lanes. Suffered whiplash. Police report filed.,vehicle,S2600296C
POL-2022-416613,Pre-existing diabetic emergency aggravated during travel. Required emergency surgery.,medical,S8494978E
POL-2020-588002,Hit and run incident in residential area. Vehicle front bumper damaged. Driver had fractured ribs.,vehicle,S4964499A
POL-2024-331577,Rear-ended by another vehicle while parking. Suffered shoulder pain. Police report filed.,vehicle,S5949909F
POL-2024-593699,"Luggage lost on flight from New York to Los Angeles. Contained electronics, clothing, documents.",travel,S7268384G
POL-2020-691573,Single vehicle accident due to mechanical failure. bruises sustained. Vehicle rear damage. Photos attached.,vehicle,S9861274F
POL-2020-813341,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle front bumper damaged.,vehicle,S9729882H
POL-2021-638179,Pre-existing heart palpitations aggravated during travel. Required emergency surgery.,medical,S1933413H
POL-2023-366817,"Fire damage at office building. electronics, clothing, documents destroyed. Total loss estimated at $1000.",property,S6170227A
POL-2020-595002,Hit and run incident in parking lot. Vehicle significant damage. Driver had concussion.,vehicle,S2069713A
POL-2023-493892,Single vehicle accident due to tire blowout. concussion sustained. Vehicle minor scratches. Previous claim history: none.,vehicle,S7416943H
POL-2021-975373,Vehicle collided with pedestrian at shopping mall. Driver experienced knee injury. Icy conditions.,vehicle,S7594429C
POL-2023-462974,Rear-ended by another vehicle while stopped at traffic light. Suffered back pain. Police report filed.,vehicle,S4853123D
POL-2021-316092,Single vehicle accident due to mechanical failure. whiplash sustained. Vehicle significant damage.,vehicle,S8033690A
POL-2020-521805,Pre-existing chest pain aggravated during travel. Required medication. Photos attached.,medical,S1816653D
POL-2024-726962,Trip cancelled due to natural disaster. Non-refundable bookings worth $5000.,travel,S4928578F
POL-2023-415098,Single vehicle accident due to mechanical failure. concussion sustained. Vehicle significant damage.,vehicle,S9745141D
POL-2024-434217,Fell ill with COVID-19 during trip to Egypt. Medical expenses $2500. Previous claim history: none.,travel,S6778321G
POL-2021-415344,"Fire damage at downtown. jewelry, camera equipment destroyed. Total loss estimated at $1000.",property,S8944327D
POL-2023-354655,Car accident on Interstate 95 involving 4 vehicles. back pain reported. front bumper damaged to vehicle.,vehicle,S7987842C
POL-2022-495489,Passport stolen in highway. Had to stopped at traffic light. Additional costs incurred. Previous claim history: none.,travel,S4195751A
POL-2021-449138,Vehicle collided with barrier at parking lot. Driver experienced back pain. Windy conditions.,vehicle,S4640933H
POL-2024-837954,Rear-ended by another vehicle while changing lanes. Suffered neck strain. Police report filed.,vehicle,S9034958D
POL-2022-374267,Sudden chest pain while dining. Transported to hospital. observation administered.,medical,S9953163F
POL-2022-428122,Pre-existing asthma attack aggravated during travel. Required medication. Previous claim history: none.,medical,S6372622D
POL-2021-305721,Hit and run incident in office building. Vehicle significant damage. Driver had bruises.,vehicle,S8005797E
POL-2023-858705,Fell ill with food poisoning during trip to Mexico. Medical expenses $10000. Urgent processing requested.,travel,S6663388E
POL-2024-772985,Fall during swimming practice. whiplash to knee. X-ray showed minor fracture.,sports,S9192588C
POL-2021-171269,Flight delayed for 6 hours. Missed hotel reservation. Incurred $2000 in expenses. Urgent processing requested.,travel,S7918793C
POL-2020-106933,Sudden chest pain while sightseeing. Transported to hospital. emergency surgery administered.,medical,S9106820H
POL-2020-626611,Storm damage to home. total loss observed. Temporary accommodation needed.,property,S9988193E
POL-2021-301255,Trip cancelled due to political unrest. Non-refundable bookings worth $5000.,travel,S9797727C
POL-2023-581294,Food poisoning at local restaurant. Symptoms included difficulty breathing. Hospitalized for 1 days. Seeking full compensation.,medical,S2325722F
POL-2020-767678,Rear-ended by another vehicle while turning left. Suffered back pain. Police report filed.,vehicle,S7327855H
POL-2024-144618,Single vehicle accident due to tire blowout. shoulder pain sustained. Vehicle minor scratches.,vehicle,S6557798B
POL-2021-991737,Rear-ended by another vehicle while turning left. Suffered concussion. Police report filed.,vehicle,S5703878A
POL-2024-352153,Sudden diabetic emergency while dining. Transported to hospital. specialized care administered.,medical,S6021033C
POL-2024-881667,Injured ankle while playing football. back pain diagnosed. Treatment: observation.,sports,S3347981B
